City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Thompson,CA,55.7435,-97.8558,60.96,77,75,6.91,broken clouds
80,Mataura,NZ,-46.1927,168.8643,46.47,89,100,1.05,overcast clouds
81,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,71,75,9.22,broken clouds
82,Hobart,AU,-42.8794,147.3294,43.05,87,22,1.14,few clouds
83,Saint-Pierre,RE,-21.3393,55.4781,67.68,73,0,6.91,clear sky
84,Hudson Bay,CA,52.85,-102.3842,67.96,39,100,9.48,overcast clouds
85,Puerto Ayora,EC,-0.7393,-90.3518,78.76,91,92,7.0,overcast clouds
86,Dunedin,NZ,-45.8742,170.5036,50.81,70,100,3.74,overcast clouds
87,Boa Vista,BR,2.8197,-60.6733,91.38,49,75,4.61,broken clouds
88,Acapulco,MX,16.8634,-99.8901,84.02,74,75,5.75,broken clouds
89,Omboue,GA,-1.5746,9.2618,76.51,83,98,8.3,overcast clouds
90,Port Alfred,ZA,-33.5906,26.891,56.17,93,100,5.01,moderate rain
91,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,63.99,77,100,1.79,moderate rain
92,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,64,0,17.27,clear sky
93,Tottori,JP,35.5,134.2333,66.06,87,100,25.93,light rain
94,Powell,US,40.1578,-83.0752,80.6,76,100,5.75,overcast clouds
95,Bengkulu,ID,-3.8004,102.2655,74.88,89,100,3.24,overcast clouds
96,Bluff,NZ,-46.6,168.3333,46.8,86,63,8.66,broken clouds
97,Khandyga,RU,62.6667,135.6,27.73,99,100,3.29,overcast clouds
98,Camaqua,BR,-30.8511,-51.8122,65.1,87,100,3.98,heavy intensity rain
99,Seminole,US,28.7086,-81.2081,92.21,65,75,8.05,broken clouds
100,Chicama,PE,-7.8447,-79.1469,63.14,61,100,11.48,overcast clouds
101,Avarua,CK,-21.2078,-159.775,77.05,69,75,4.61,broken clouds
102,Neuquen,AR,-38.9516,-68.0591,55.29,33,0,11.5,clear sky
103,Cruzeiro Do Sul,BR,-29.5128,-51.9853,62.08,94,100,2.33,light rain
104,Jamestown,US,42.097,-79.2353,74.17,70,75,14.0,broken clouds
105,Gazli,UZ,40.1333,63.45,76.53,15,4,9.6,clear sky
106,Altamira,BR,-3.2033,-52.2064,93.29,46,40,4.61,scattered clouds
107,Ko Samui,TH,9.5357,99.9357,82.31,74,100,13.09,overcast clouds
108,Norman Wells,CA,65.282,-126.8329,51.84,62,75,4.61,broken clouds
109,Portland,US,45.5234,-122.6762,79.95,52,0,8.05,clear sky
110,Yellowknife,CA,62.456,-114.3525,57.72,47,40,14.97,scattered clouds
111,Tpig,RU,41.7801,47.589,56.46,95,54,5.1,broken clouds
112,Beloeil,CA,45.5668,-73.1992,60.03,96,100,10.36,overcast clouds
113,Kangaatsiaq,GL,68.3065,-53.4641,38.91,85,13,7.72,few clouds
114,Stykkisholmur,IS,65.0757,-22.7297,50.63,96,100,8.41,overcast clouds
115,Alofi,NU,-19.0595,-169.9187,75.09,88,40,8.05,scattered clouds
116,Hilo,US,19.7297,-155.09,80.62,87,100,12.66,overcast clouds
117,Nouadhibou,MR,20.931,-17.0347,73.38,78,0,18.41,clear sky
118,Pomabamba,PE,-8.8333,-77.4667,66.29,31,66,4.65,broken clouds
119,Shimoda,JP,34.6667,138.95,77.11,90,100,27.2,light rain
120,Purranque,CL,-40.9167,-73.1667,51.13,84,95,3.18,overcast clouds
121,Shiyan,CN,32.6475,110.7781,62.87,93,100,2.64,overcast clouds
122,Benghazi,LY,32.1167,20.0667,78.71,64,0,12.17,clear sky
123,Padang,ID,-0.9492,100.3543,75.25,86,100,3.2,overcast clouds
124,Zhigansk,RU,66.7697,123.3711,27.64,83,15,3.85,few clouds
125,Adrar,MR,20.5022,-10.0711,94.62,22,100,10.4,overcast clouds
126,Singkawang,ID,0.9,109.0,74.39,87,100,2.21,overcast clouds
127,Olafsvik,IS,64.8945,-23.7142,50.49,96,100,10.38,overcast clouds
128,Porto Murtinho,BR,-21.6989,-57.8825,96.1,32,97,13.56,overcast clouds
129,Mayo,US,38.8876,-76.5119,86.04,59,20,10.36,few clouds
130,Jutiapa,GT,14.2833,-89.9,76.35,84,74,2.1,broken clouds
131,Xuddur,SO,4.1213,43.8894,77.81,65,97,19.82,overcast clouds
132,Atuona,PF,-9.8,-139.0333,75.9,80,13,19.98,light rain
133,San Javier,ES,37.8063,-0.8374,77.99,58,0,5.75,clear sky
134,Katobu,ID,-4.9408,122.5276,74.17,94,93,2.73,overcast clouds
135,Kodiak,US,57.79,-152.4072,58.51,82,75,11.5,broken clouds
136,Saldanha,ZA,-33.0117,17.9442,53.65,88,0,11.03,clear sky
137,Portmore,JM,17.9702,-76.8672,93.06,62,40,8.05,scattered clouds
138,Nata,PA,8.3333,-80.5167,84.07,75,91,6.69,overcast clouds
139,Ulladulla,AU,-35.35,150.4667,47.3,78,0,4.21,clear sky
140,Omsukchan,RU,62.5333,155.8,29.91,84,100,6.46,overcast clouds
141,Mahebourg,MU,-20.4081,57.7,71.26,73,40,9.22,scattered clouds
142,Pisco,PE,-13.7,-76.2167,64.02,82,100,6.91,overcast clouds
143,Provideniya,RU,64.3833,-173.3,41.18,76,100,4.38,overcast clouds
144,Belmonte,BR,-15.8631,-38.8828,74.57,70,56,10.02,broken clouds
145,Orlik,RU,52.5178,99.825,39.31,67,93,4.5,overcast clouds
146,Saskylakh,RU,71.9167,114.0833,26.31,90,100,6.58,overcast clouds
147,Broome,US,42.2506,-75.833,68.45,85,100,10.36,heavy intensity rain
148,Balapur,IN,20.6667,76.7667,73.24,93,98,11.05,overcast clouds
149,Mehamn,NO,71.0357,27.8492,42.75,93,75,18.41,light rain
150,Saint George,US,37.1041,-113.5841,89.8,17,0,5.01,clear sky
151,Bialystok,PL,53.1333,23.15,49.98,90,100,5.99,overcast clouds
152,Gamba,GA,-2.65,10.0,75.34,88,76,7.9,light rain
153,Iqaluit,CA,63.7506,-68.5145,47.93,70,75,10.36,broken clouds
154,Kalmunai,LK,7.4167,81.8167,81.25,74,100,2.48,overcast clouds
155,Dano,BF,11.15,-3.0667,76.05,88,100,5.26,light rain
156,Bambanglipuro,ID,-7.95,110.2833,75.76,81,100,7.52,overcast clouds
157,Springbok,ZA,-29.6643,17.8865,42.53,73,0,5.44,clear sky
158,Nadym,RU,65.5333,72.5167,38.89,92,13,7.09,few clouds
159,Cherskiy,RU,68.75,161.3,28.26,78,50,7.43,scattered clouds
160,Ternate,ID,0.8,127.4,80.78,79,100,2.86,overcast clouds
161,Port Blair,IN,11.6667,92.75,80.64,83,75,5.75,mist
162,Narsaq,GL,60.9167,-46.05,52.02,85,100,8.9,overcast clouds
163,Bacolod,PH,10.6667,122.95,78.24,89,100,8.12,overcast clouds
164,Cordoba,AR,-31.4135,-64.1811,68.76,39,40,9.22,scattered clouds
165,Port Hardy,CA,50.6996,-127.4199,55.4,87,100,3.44,overcast clouds
166,Vanimo,PG,-2.6741,141.3028,77.11,88,100,3.71,very heavy rain
167,Evensk,RU,61.95,159.2333,38.95,56,59,9.91,broken clouds
168,Sur,OM,22.5667,59.5289,81.9,73,0,12.86,clear sky
169,Taoudenni,ML,22.6783,-3.9836,100.35,15,7,10.09,clear sky
170,Yerbogachen,RU,61.2767,108.0108,42.01,98,100,7.27,moderate rain
171,Along,IN,28.1667,94.7667,74.23,98,99,2.04,overcast clouds
172,Fare,PF,-16.7,-151.0167,77.43,73,1,14.0,light rain
173,Poum,NC,-20.2333,164.0167,74.97,76,0,13.13,clear sky
174,Kota Bahru,MY,6.1333,102.2386,75.15,88,20,4.61,few clouds
175,Talnakh,RU,69.4865,88.3972,31.21,78,3,18.45,clear sky
176,Gat,IL,31.61,34.7642,77.68,100,0,5.06,clear sky
177,Southbridge,US,42.0751,-72.0334,81.36,88,100,5.57,overcast clouds
178,Vizinga,RU,61.0749,50.1031,63.43,87,100,15.46,light rain
179,Nishihara,JP,26.1842,127.7558,80.26,83,75,17.27,broken clouds
180,Faanui,PF,-16.4833,-151.75,77.85,73,6,15.14,light rain
181,Ayan,RU,56.45,138.1667,39.06,77,100,18.19,light rain
182,Qaqortoq,GL,60.7167,-46.0333,44.24,91,100,11.92,overcast clouds
183,Kastamonu,TR,41.5,33.6667,58.17,82,100,3.22,overcast clouds
